1,6826 Herzog Via,None,Avon,New Patienceburgh,28441,Turkey,1803 637401,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
2,179 Alexie Cliffs,None,None,Aliso Viejo,99305-7380,San Marino,9621 880720,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
3,148 Sincere Fort,None,None,Lake Charles,89360,Samoa,0730 783349,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
4,6102 Rogahn Skyway,None,Bedfordshire,Olsonside,47518,Republic of Korea,1239 706295,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
5,34177 Upton Track,None,None,Fort Shadburgh,55993-8850,Bosnia and Herzegovina,0081 009772,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
6,846 Kailey Island,None,None,Kendraburgh,08841,Zimbabwe,0447 798320,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
7,75653 Ernestine Ways,None,Buckinghamshire,North Deshaun,02813,Faroe Islands,1373 796260,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
8,0579 Durgan Common,None,None,Suffolk,56693-0660,United Kingdom,8935 157571,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
9,644 Edward Garden,None,Borders,New Tyra,30825-5672,Australia,0768 748652,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
10,49967 Kaylah Flat,Tremaine Circles,Bedfordshire,Beaulahcester,89470,Democratic People's Republic of Korea,4949 998070,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
11,249 Bernier Mission,None,Buckinghamshire,Corpus Christi,85111-9300,Japan,0222 525870,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
12,6461 Ernesto Expressway,None,Berkshire,Pricetown,37167-0340,Tajikistan,4757 757948,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
13,80828 Arch Dale,Torphy Turnpike,None,Shanahanview,60728-5019,Bouvet Island (Bouvetoya),8806 209655,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
14,84824 Bryce Common,Grady Turnpike,None,Maggiofurt,50899-1522,Iraq,3316 955887,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
15,605 Haskell Trafficway,Axel Freeway,None,East Bobbie,88253-4257,Heard Island and McDonald Islands,9687 937447,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
16,511 Orin Extension,Cielo Radial,Buckinghamshire,South Wyatt,04524-5341,Iceland,2372 180716,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
17,962 Koch Drives,None,None,Hackensack,95316-4738,Indonesia,5507 549583,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
18,58805 Sibyl Cliff,Leuschke Glens,Bedfordshire,Lake Arne,63808,Kiribati,0168 407254,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
19,0283 Cole Corner,Izabella Ways,Buckinghamshire,West Briellecester,01138,Sierra Leone,1753 158314,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
20,22073 Klein Landing,None,None,Pueblo,91445,Republic of Korea,4003 678621,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
21,389 Georgette Ridge,None,Cambridgeshire,Fresno,91510-3655,Bolivia,8697 474676,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
22,364 Goodwin Streets,None,None,Sayreville,85544-4254,Svalbard & Jan Mayen Islands,0847 468066,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
23,822 Providenci Spring,None,Berkshire,Derekport,25541,Papua New Guinea,4111 801405,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
24,8434 Daren Freeway,None,None,New Torrance,17110,Antigua and Barbuda,5582 055380,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
25,253 Ullrich Inlet,Macey Wall,Borders,East Arvel,35397-9952,Sudan,0021 366201,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
26,522 Pacocha Branch,None,Bedfordshire,Napa,77211-4519,American Samoa,5794 359212,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
27,7212 Breitenberg View,Nora Bridge,Buckinghamshire,Oakland Park,77499,Guam,2949 665163,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
28,079 Horacio Landing,None,None,Utica,93045,Austria,7772 084705,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
29,37736 Heathcote Lock,Noemy Pines,None,Bartellview,42400-5199,Congo,1684 702261,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
30,0336 Ruthe Heights,None,Buckinghamshire,Lake Myrlfurt,94545-4284,Falkland Islands (Malvinas),1083 286132,2022-11-03 14:20:49.962000,2022-11-03 14:20:49.962000
